"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
4.53000547860673e-21,26,41,10.7459764393562,"rRNA-binding","","SERP0046 SERP0178 SERP0179 SERP0180 SERP1211 SERP1242 SERP1284 SERP1806 SERP1807 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831"
1.25607907577916e-26,35,59,10.0524616626312,"Ribosomal protein","","SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0718 SERP0823 SERP1211 SERP1242 SERP1243 SERP1284 SERP1798 SERP1799 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832"
1.43988775841846e-26,35,60,9.88492063492063,"Ribonucleoprotein","","SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0718 SERP0823 SERP1211 SERP1242 SERP1243 SERP1284 SERP1798 SERP1799 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832"
4.7191159619004e-26,35,62,9.56605222734255,"Ribosome","","SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0718 SERP0823 SERP1211 SERP1242 SERP1243 SERP1244 SERP1284 SERP1798 SERP1799 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832"
1.10314812573992e-05,9,19,8.02685284640172,"Sulfur amino acid biosynthetic process, and siroheme metabolic process","","SERP0036 SERP0094 SERP0095 SERP0152 SERP1166 SERP2185 SERP2187 SERP2191 SERP2192"
1.4860755512439e-23,38,87,7.40151692861053,"Ribosome, and reg. of translation","","SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0184 SERP0718 SERP0823 SERP1211 SERP1242 SERP1243 SERP1244 SERP1284 SERP1798 SERP1799 SERP1805 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832"
5.61267445893041e-06,11,28,6.65719144800777,"Ribosomal subunit","http://amigo.geneontology.org/amigo/term/GO:0044391","SERP0179 SERP0180 SERP0718 SERP0823 SERP1284 SERP1813 SERP1814 SERP1821 SERP1826 SERP1827 SERP1828"
1.19962839129292e-20,38,102,6.31305855675604,"Translation","","SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0184 SERP0718 SERP0823 SERP1211 SERP1242 SERP1243 SERP1244 SERP1284 SERP1798 SERP1799 SERP1805 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832"
1.42348706673192e-16,31,84,6.25372529964367,"RNA-binding","","SERP0002 SERP0046 SERP0178 SERP0179 SERP0180 SERP0450 SERP1015 SERP1211 SERP1242 SERP1279 SERP1284 SERP1806 SERP1807 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP2413"
4.24407288998348e-06,12,33,6.16202844774273,"Ribonucleoprotein complex","http://amigo.geneontology.org/amigo/term/GO:1990904","SERP0002 SERP0179 SERP0180 SERP0718 SERP0823 SERP1284 SERP1813 SERP1814 SERP1821 SERP1826 SERP1827 SERP1828"
